"W ID","Colony","Treatment","Days after start of experiment","No. foraging bouts per day","Mean foraging duration"
"A0 01 03 C0 00 20 46 98","WB03","A",10,2,1899-12-31 00:34:05
"A0 01 03 C0 00 20 46 98","WB03","A",4,3,1899-12-31 00:25:05
"A0 01 03 C0 00 20 46 98","WB03","A",11,3,1899-12-31 01:26:27
"A0 01 03 C0 00 20 46 98","WB03","A",9,5,1899-12-31 01:09:19
"A0 01 03 C0 00 20 46 98","WB03","A",7,6,1899-12-31 00:54:20
"A0 01 03 C0 00 20 46 98","WB03","A",2,8,1899-12-31 00:38:35
"A0 01 03 C0 00 20 46 98","WB03","A",5,8,1899-12-31 00:42:03
"A0 01 03 C0 00 20 46 98","WB03","A",3,10,1899-12-31 00:39:30
"A0 01 03 C0 00 20 46 98","WB03","A",8,16,1899-12-31 00:22:21
"A0 01 03 C0 00 20 46 E8","WB03","A",0,1,1899-12-31 00:05:02
"A0 01 03 C0 00 20 46 E8","WB03","A",4,1,1899-12-31 02:20:52
"A0 01 03 C0 00 20 46 E8","WB03","A",20,1,1899-12-31 07:40:18
"A0 01 03 C0 00 20 46 E8","WB03","A",5,2,1899-12-31 00:57:53
"A0 01 03 C0 00 20 46 E8","WB03","A",19,2,1899-12-31 00:19:57
"A0 01 03 C0 00 20 46 E8","WB03","A",2,7,1899-12-31 00:46:04
"A0 01 03 C0 00 20 46 E8","WB03","A",3,7,1899-12-31 00:44:18
"A0 01 03 C0 00 20 46 E8","WB03","A",1,10,1899-12-31 00:41:31
"A0 01 03 C0 00 A0 08 7F","WB03","A",20,2,1899-12-31 01:40:55
"A0 01 03 C0 00 A0 08 7F","WB03","A",21,2,1899-12-31 02:22:00
"A0 01 03 C0 00 A0 08 7F","WB03","A",18,4,1899-12-31 00:54:59
"A0 01 03 C0 00 A0 08 7F","WB03","A",19,4,1899-12-31 00:56:24
"A0 01 03 C0 00 A0 68 43","WB03","A",16,1,1899-12-31 00:17:43
"A0 01 03 C0 00 A0 68 43","WB03","A",24,1,1899-12-31 01:59:48
"A0 01 03 C0 00 A0 68 43","WB03","A",26,1,1899-12-31 00:50:00
"A0 01 03 C0 00 A0 68 43","WB03","A",19,3,1899-12-31 00:48:04
"A0 01 03 C0 00 A0 68 43","WB03","A",23,5,1899-12-31 01:17:14
"A0 01 03 C0 00 A0 68 43","WB03","A",25,5,1899-12-31 01:09:21
"A0 01 03 C0 00 A0 A8 5F","WB03","A",12,1,1899-12-31 00:46:45
"A0 01 03 C0 00 A0 A8 5F","WB03","A",13,1,1899-12-31 01:06:10
"A0 01 03 C0 00 A0 A8 5F","WB03","A",16,2,1899-12-31 00:46:20
"A0 01 03 C0 00 A0 A8 5F","WB03","A",15,3,1899-12-31 00:48:49
"A0 01 03 C0 00 A0 A8 5F","WB03","A",17,3,1899-12-31 00:54:12
"A0 01 03 C0 00 A0 A8 5F","WB03","A",26,3,1899-12-31 00:17:03
"A0 01 03 C0 00 A0 C8 85","WB03","A",25,1,1899-12-31 00:06:29
"A0 01 03 C0 00 A0 C8 85","WB03","A",24,3,1899-12-31 00:38:19
"A0 01 03 C0 00 A0 C8 85","WB03","A",23,9,1899-12-31 00:39:41
"A0 01 03 C0 00 A0 E8 12","WB03","A",8,1,1899-12-31 01:47:48
"A0 01 03 C0 00 A0 E8 12","WB03","A",9,3,1899-12-31 00:36:07
"A0 01 03 C0 00 A0 E8 12","WB03","A",12,3,1899-12-31 00:13:52
"A0 01 03 C0 00 A0 E8 12","WB03","A",13,3,1899-12-31 01:48:18
"A0 01 03 C0 00 A0 E8 12","WB03","A",10,4,1899-12-31 00:41:31
"A0 01 03 C0 00 A0 E8 12","WB03","A",11,4,1899-12-31 00:37:52
"A0 01 03 C0 00 A0 E8 6D","WB03","A",7,1,1899-12-31 00:22:15
"A0 01 03 C0 00 A0 E8 6D","WB03","A",9,2,1899-12-31 00:23:41
"A0 01 03 C0 00 A0 E8 6D","WB03","A",10,2,1899-12-31 00:19:46
"A0 01 03 C0 00 A0 E8 6D","WB03","A",11,2,1899-12-31 00:17:28
"A0 01 03 C0 00 20 8D 0A","WB03_2","A",13,1,1899-12-31 00:36:58
"A0 01 03 C0 00 20 8D 0A","WB03_2","A",20,1,1899-12-31 00:43:22
"A0 01 03 C0 00 20 8D 0A","WB03_2","A",24,1,1899-12-31 00:14:57
"A0 01 03 C0 00 20 8D 0A","WB03_2","A",12,2,1899-12-31 01:14:06
"A0 01 03 C0 00 20 8D 0A","WB03_2","A",16,2,1899-12-31 00:33:14
"A0 01 03 C0 00 20 8D 0A","WB03_2","A",19,2,1899-12-31 00:24:24
"A0 01 03 C0 00 20 8D 0A","WB03_2","A",25,2,1899-12-31 03:01:55
"A0 01 03 C0 00 20 8D 0A","WB03_2","A",26,2,1899-12-31 00:47:00
"A0 01 03 C0 00 20 8D 0A","WB03_2","A",17,3,1899-12-31 00:41:18
"A0 01 03 C0 00 20 8D 0A","WB03_2","A",23,4,1899-12-31 00:33:12
"A0 01 03 C0 00 20 8D 0A","WB03_2","A",27,6,1899-12-31 00:32:05
"A0 01 03 C0 00 A0 A8 90","WB03_2","A",3,1,1899-12-31 00:26:00
"A0 01 03 C0 00 A0 A8 90","WB03_2","A",6,1,1899-12-31 00:26:01
"A0 01 03 C0 00 A0 A8 90","WB03_2","A",8,1,1899-12-31 00:17:06
"A0 01 03 C0 00 A0 A8 90","WB03_2","A",5,3,1899-12-31 00:39:13
"A0 01 03 C0 00 20 C6 E8","WB07","A",9,1,1899-12-31 00:46:11
"A0 01 03 C0 00 20 C6 E8","WB07","A",14,1,1899-12-31 00:21:47
"A0 01 03 C0 00 20 C6 E8","WB07","A",5,2,1899-12-31 00:33:36
"A0 01 03 C0 00 20 C6 E8","WB07","A",7,2,1899-12-31 00:37:05
"A0 01 03 C0 00 20 C6 E8","WB07","A",8,2,1899-12-31 00:38:11
"A0 01 03 C0 00 20 C6 E8","WB07","A",12,2,1899-12-31 00:22:46
"A0 01 03 C0 00 20 C6 E8","WB07","A",15,2,1899-12-31 00:32:01
"A0 01 03 C0 00 20 C6 E8","WB07","A",4,3,1899-12-31 00:19:36
"A0 01 03 C0 00 20 C6 E8","WB07","A",11,3,1899-12-31 01:55:20
"A0 01 03 C0 00 20 C6 E8","WB07","A",10,4,1899-12-31 00:38:12
"A0 01 03 C0 00 20 C6 F8","WB07","A",10,1,1899-12-31 00:11:51
"A0 01 03 C0 00 20 C6 F8","WB07","A",12,1,1899-12-31 00:06:25
"A0 01 03 C0 00 20 C6 F8","WB07","A",16,1,1899-12-31 01:03:56
"A0 01 03 C0 00 20 C6 F8","WB07","A",17,1,1899-12-31 02:15:15
"A0 01 03 C0 00 20 C6 F8","WB07","A",21,1,1899-12-31 05:36:59
"A0 01 03 C0 00 20 C6 F8","WB07","A",14,2,1899-12-31 01:36:25
"A0 01 03 C0 00 20 C6 F8","WB07","A",15,2,1899-12-31 01:07:41
"A0 01 03 C0 00 20 C6 F8","WB07","A",11,7,1899-12-31 00:24:40
"A0 01 03 C0 00 20 C6 F8","WB07","A",8,11,1899-12-31 00:23:43
"A0 01 03 C0 00 20 C6 F8","WB07","A",9,14,1899-12-31 00:24:40
"A0 01 03 C0 00 A0 28 B8","WB07","A",27,1,1899-12-31 02:08:36
"A0 01 03 C0 00 A0 28 B8","WB07","A",23,2,1899-12-31 00:13:06
"A0 01 03 C0 00 A0 28 B8","WB07","A",25,4,1899-12-31 01:09:50
"A0 01 03 C0 00 A0 28 B8","WB07","A",24,5,1899-12-31 00:37:30
"A0 01 03 C0 00 A0 28 DB","WB07","A",26,1,1899-12-31 03:09:48
"A0 01 03 C0 00 A0 28 DB","WB07","A",22,2,1899-12-31 01:13:51
"A0 01 03 C0 00 A0 28 DB","WB07","A",24,3,1899-12-31 01:16:00
"A0 01 03 C0 00 A0 28 DB","WB07","A",23,4,1899-12-31 01:12:48
"A0 01 03 C0 00 A0 28 DB","WB07","A",25,4,1899-12-31 01:10:35
"A0 01 03 C0 00 A0 40 30","WB07","A",18,3,1899-12-31 00:27:56
"A0 01 03 C0 00 A0 40 30","WB07","A",14,6,1899-12-31 00:17:59
"A0 01 03 C0 00 A0 40 30","WB07","A",17,7,1899-12-31 00:37:28
"A0 01 03 C0 00 A0 40 30","WB07","A",19,7,1899-12-31 00:37:43
"A0 01 03 C0 00 A0 40 30","WB07","A",16,9,1899-12-31 00:24:45
"A0 01 03 C0 00 A0 40 30","WB07","A",15,10,1899-12-31 00:29:18
"A0 01 03 C0 00 A0 68 26","WB07","A",15,1,1899-12-31 01:05:02
"A0 01 03 C0 00 A0 68 26","WB07","A",18,1,1899-12-31 01:18:03
"A0 01 03 C0 00 A0 68 26","WB07","A",17,4,1899-12-31 00:50:40
"A0 01 03 C0 00 A0 68 26","WB07","A",16,7,1899-12-31 00:41:13
"A0 01 03 C0 00 A0 68 2A","WB07","A",18,1,1899-12-31 00:11:48
"A0 01 03 C0 00 A0 68 2A","WB07","A",23,1,1899-12-31 01:03:29
"A0 01 03 C0 00 A0 68 2A","WB07","A",24,1,1899-12-31 01:22:52
"A0 01 03 C0 00 A0 68 2A","WB07","A",19,4,1899-12-31 00:32:52
"A0 01 03 C0 00 A0 68 2A","WB07","A",22,4,1899-12-31 00:58:57
"A0 01 03 C0 00 A0 68 2A","WB07","A",26,5,1899-12-31 00:22:14
"A0 01 03 C0 00 A0 68 2A","WB07","A",27,7,1899-12-31 00:22:54
"A0 01 03 C0 00 A0 A0 30","WB07","A",21,1,1899-12-31 00:45:34
"A0 01 03 C0 00 A0 A0 30","WB07","A",27,1,1899-12-31 00:32:23
"A0 01 03 C0 00 A0 A0 30","WB07","A",17,2,1899-12-31 00:27:09
"A0 01 03 C0 00 A0 A0 30","WB07","A",18,2,1899-12-31 02:57:48
"A0 01 03 C0 00 A0 A0 30","WB07","A",23,2,1899-12-31 00:33:11
"A0 01 03 C0 00 A0 A0 30","WB07","A",24,2,1899-12-31 00:50:27
"A0 01 03 C0 00 A0 A0 30","WB07","A",19,3,1899-12-31 00:58:11
"A0 01 03 C0 00 A0 A0 30","WB07","A",20,3,1899-12-31 03:22:46
"A0 01 03 C0 00 A0 A0 30","WB07","A",25,3,1899-12-31 00:58:04
"A0 01 03 C0 00 A0 A0 30","WB07","A",26,6,1899-12-31 00:59:19
"A0 01 03 C0 00 A0 A8 4F","WB07","A",17,1,1899-12-31 00:36:36
"A0 01 03 C0 00 A0 A8 4F","WB07","A",26,1,1899-12-31 01:27:48
"A0 01 03 C0 00 A0 A8 4F","WB07","A",23,3,1899-12-31 01:10:34
"A0 01 03 C0 00 A0 A8 4F","WB07","A",16,4,1899-12-31 00:33:02
"A0 01 03 C0 00 A0 A8 4F","WB07","A",19,4,1899-12-31 00:32:45
"A0 01 03 C0 00 A0 A8 4F","WB07","A",22,7,1899-12-31 00:42:31
"A0 01 03 C0 00 20 9D C4","WB07_2","A",26,1,1899-12-31 00:25:10
"A0 01 03 C0 00 20 9D C4","WB07_2","A",25,4,1899-12-31 00:36:45
"A0 01 03 C0 00 20 9D C4","WB07_2","A",24,5,1899-12-31 00:39:34
"A0 01 03 C0 00 20 9D C4","WB07_2","A",27,6,1899-12-31 00:34:17
"A0 01 03 C0 00 20 BF 77","WB11","A",17,4,1899-12-31 01:08:57
"A0 01 03 C0 00 20 BF 77","WB11","A",18,4,1899-12-31 00:30:32
"A0 01 03 C0 00 20 BF 77","WB11","A",19,4,1899-12-31 00:46:17
"A0 01 03 C0 00 20 BF 77","WB11","A",22,4,1899-12-31 00:53:54
"A0 01 03 C0 00 20 C6 E4","WB11","A",3,2,1899-12-31 01:36:56
"A0 01 03 C0 00 20 C6 E4","WB11","A",2,3,1899-12-31 01:07:36
"A0 01 03 C0 00 20 C6 E4","WB11","A",4,3,1899-12-31 00:45:41
"A0 01 03 C0 00 20 C6 E4","WB11","A",5,3,1899-12-31 01:33:30
"A0 01 03 C0 00 20 C6 E4","WB11","A",1,8,1899-12-31 00:48:14
"A0 01 03 C0 00 A0 28 B6","WB11","A",25,1,1899-12-31 03:16:22
"A0 01 03 C0 00 A0 28 B6","WB11","A",27,1,1899-12-31 02:56:19
"A0 01 03 C0 00 A0 28 B6","WB11","A",26,5,1899-12-31 00:54:35
"A0 01 03 C0 00 A0 C8 ED","WB11","A",20,1,1899-12-31 01:39:17
"A0 01 03 C0 00 A0 C8 ED","WB11","A",21,3,1899-12-31 03:45:04
"A0 01 03 C0 00 A0 C8 ED","WB11","A",22,4,1899-12-31 00:44:26
"A0 01 03 C0 00 A0 C8 ED","WB11","A",19,8,1899-12-31 00:39:51
"A0 01 03 C0 00 A0 C8 ED","WB11","A",18,11,1899-12-31 00:30:52
"A0 01 03 C0 00 20 4D AA","WB15_2","A",12,1,1899-12-31 00:39:17
"A0 01 03 C0 00 20 4D AA","WB15_2","A",11,3,1899-12-31 00:21:07
"A0 01 03 C0 00 20 4D AA","WB15_2","A",14,8,1899-12-31 00:20:59
"A0 01 03 C0 00 20 4D AA","WB15_2","A",13,9,1899-12-31 00:16:55
"A0 01 03 C0 00 20 6D 6C","WB15_2","A",25,2,1899-12-31 00:12:10
