"Date","W ID","Pollen Score","Colony","Treatment","Pollen Colour"
2011-09-23,"A0 01 03 C0 00 20 0D 8C",3,"WB19_2","A","S1"
2011-09-28,"A0 01 03 C0 00 20 0D 8C",3,"WB19_2","A","S3"
2011-09-30,"A0 01 03 C0 00 20 0D 8C",3,"WB19_2","A","S3"
2011-09-19,"A0 01 03 C0 00 20 0D B2",0,"WB05_2","C",NA
2011-09-20,"A0 01 03 C0 00 20 0D B2",1,"WB05_2","C","S1"
2011-09-21,"A0 01 03 C0 00 20 0D B2",1,"WB05_2","C","S1/2"
2011-09-23,"A0 01 03 C0 00 20 0D B2",0,"WB05_2","C",NA
2011-09-30,"A0 01 03 C0 00 20 0D B2",0,"WB05_2","C",NA
2011-09-30,"A0 01 03 C0 00 20 0D EA",2,"WB02_2","D","S3"
2011-09-28,"A0 01 03 C0 00 20 1D 52",3,"WB19_2","A","S3"
2011-09-29,"A0 01 03 C0 00 20 1D 52",3,"WB19_2","A","S1/3"
2011-10-01,"A0 01 03 C0 00 20 1D 52",3,"WB19_2","A","S1"
2011-09-23,"A0 01 03 C0 00 20 1D 5A",3,"WB01_2","C","S1"
2011-09-29,"A0 01 03 C0 00 20 1D 5A",3,"WB01_2","C","S2"
2011-09-23,"A0 01 03 C0 00 20 1D 62",2,"WB13_2","C","S3"
2011-09-28,"A0 01 03 C0 00 20 1D 62",2,"WB13_2","C","S1"
2011-09-28,"A0 01 03 C0 00 20 1D 62",3,"WB13_2","C","S5/2"
2011-09-29,"A0 01 03 C0 00 20 1D 62",3,"WB13_2","C","S1"
2011-09-29,"A0 01 03 C0 00 20 1D 62",3,"WB13_2","C","S2"
2011-09-26,"A0 01 03 C0 00 20 1D 7A",2,"WB02_2","D","S3"
2011-09-29,"A0 01 03 C0 00 20 1D C3",0,"WB01_2","C",NA
2011-09-30,"A0 01 03 C0 00 20 1D C3",3,"WB01_2","C","S3"
2011-09-21,"A0 01 03 C0 00 20 1D CB",3,"WB01_2","C","S1"
2011-09-21,"A0 01 03 C0 00 20 1D CB",3,"WB01_2","C","S1"
2011-09-22,"A0 01 03 C0 00 20 1D CB",3,"WB01_2","C","S3"
2011-09-23,"A0 01 03 C0 00 20 1D CB",3,"WB01_2","C","S1"
2011-09-23,"A0 01 03 C0 00 20 1D CB",3,"WB01_2","C","S1"
2011-09-27,"A0 01 03 C0 00 20 1D CB",1,"WB01_2","C","S5"
2011-09-28,"A0 01 03 C0 00 20 1D CB",3,"WB01_2","C","S3"
2011-09-29,"A0 01 03 C0 00 20 1D CB",3,"WB01_2","C","S3"
2011-09-29,"A0 01 03 C0 00 20 1D CB",3,"WB01_2","C","S3"
2011-09-30,"A0 01 03 C0 00 20 1D CB",3,"WB01_2","C","S1"
2011-09-23,"A0 01 03 C0 00 20 1D DB",2,"WB01_2","C","S1"
2011-09-27,"A0 01 03 C0 00 20 1D DB",1,"WB01_2","C","S6"
2011-07-23,"A0 01 03 C0 00 20 1F FD",1,"WB17","C","JL1"
2011-07-29,"A0 01 03 C0 00 20 1F FD",2,"WB17","C","AU1"
2011-07-08,"A0 01 03 C0 00 20 26 82",0,"WB04","B",NA
2011-10-01,"A0 01 03 C0 00 20 2D 0A",1,"WB19_2","A","S1"
2011-09-15,"A0 01 03 C0 00 20 3D E5",0,"WB01_2","C",NA
2011-07-27,"A0 01 03 C0 00 20 3F 67",3,"WB02","D","AU3"
2011-07-28,"A0 01 03 C0 00 20 3F 67",3,"WB02","D","AU2"
2011-07-29,"A0 01 03 C0 00 20 3F 67",3,"WB02","D","AU2"
2011-07-29,"A0 01 03 C0 00 20 3F D4",1,"WB04","B","AU7"
2011-07-11,"A0 01 03 C0 00 20 46 23",3,"WB02","D","JL1"
2011-07-12,"A0 01 03 C0 00 20 46 23",2,"WB02","D","JL1"
2011-07-13,"A0 01 03 C0 00 20 46 23",3,"WB02","D","JL3"
2011-07-13,"A0 01 03 C0 00 20 46 23",3,"WB02","D","JL3"
2011-07-15,"A0 01 03 C0 00 20 46 23",1,"WB02","D","AU1"
2011-07-15,"A0 01 03 C0 00 20 46 23",2,"WB02","D","JL1"
