Series Name	Series Code	Country Name	Country Code	1990 [YR1990]	2000 [YR2000]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Afghanistan	AFG	48.0651697069087	48.5636389106859	47.7868069705533	47.8252284946353	47.7666776894473	47.5893444319327	47.1004177246777	46.449243129172	45.6852570683615	44.8709961512615	44.0419494688679	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Albania	ALB	32.6958819766731	30.2633117283506	24.2331647983675	23.2230782344899	22.2681018988452	21.4251229288017	20.609006898798	19.9280930423405	19.3822939907695	18.9304268021744	18.5462041185786	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Algeria	DZA	43.3377363794365	34.2723775382606	27.8815541581073	27.51387138208	27.2862473903156	27.1913080414591	27.3950508988556	27.6198965331387	27.8895861023903	28.2059094679775	28.5387104424263	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	American Samoa	ASM	..	..	..	..	..	..	..	..	..	..	..	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Andorra	ADO	..	..	..	..	..	..	..	..	..	..	..	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Angola	AGO	47.8015109809874	47.8208520584664	48.2480237211325	48.2659754682067	48.2332569188371	48.1525878896816	48.1800263746328	48.1279913206738	48.0125768278523	47.8503168544999	47.6504411682308	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Antigua and Barbuda	ATG	29.696636836494	29.2190397692149	27.5862886121545	27.1505565319274	26.6929316338355	26.2331915674114	25.7974861602686	25.3679731444161	24.9508251375229	24.5544554455446	24.178265699536	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Argentina	ARG	30.6132129372247	27.9848266959955	26.5195039377504	26.2737377624508	26.0513652893487	25.871955801239	25.6983788212374	25.5704661412421	25.4657425928406	25.3464271985317	25.1941974935713	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Armenia	ARM	30.3707653267771	25.860521998974	21.1698203249739	20.867225159822	20.6495178193107	20.5149593588114	19.9464013283091	19.4379148914882	19.013084721836	18.6636812352261	18.3838948183259	..
Population ages 0-14 (% of total)	SP.POP.0014.TO.ZS	Aruba	ABW	24.5494625732123	23.1790266129565	21.071350945484	20.9863630084269	20.9148457837028	20.8096695768576	20.4343902056192	19.9535124471399	19.3944870337443	18.8358581220213	18.3368787840869	..
